word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion
alienated,1.22102008463,1.06049729002,1.13369143079,1.29367243825
estrange,1.50487259029,1.43609331708,1.40060212777,1.45037745035
alienation,1.24230259942,1.05021804131,1.10973878644,1.38297640469
unoriented,1.59730316614,1.6291723325,1.52411876526,1.60367161367
unloved,1.2926868623,1.21281048709,1.34151736178,1.40707661153
loath,1.32305701434,1.19170598109,1.31435556966,1.35034792636
indisposed,1.43044234111,1.391807811,1.38536741401,1.41830110857
reluctant,1.22009427429,1.14326981061,1.26488569094,1.3391009067
antipathetic,1.20288187605,1.18895119358,1.23331127498,1.28998832559
averse,1.12973564469,1.12539777745,1.13309472805,1.29279765535
disinclined,1.25496879272,1.23567023846,1.23087229064,1.39768089929
loth,1.57341189623,1.4585592793,1.54594434733,1.57028066683
disinclination,1.28210206966,1.32669011577,1.26256349881,1.40148066664
antipathy,1.18996590797,1.0962843593,1.05912088371,1.32604670592
unfavorable,1.29332343903,1.1894727125,1.1649856388,1.3703191949
dissuasive,1.56153563079,1.42880647554,1.36607203994,1.5701524529
unfavourable,1.2730178461,1.20342808251,1.16071211097,1.33029512586
disapprove,1.2956896779,1.23808644659,1.34613289952,1.4261171388
disapproving,1.1520935281,1.0096621146,1.18310499951,1.18437997484
disapproval,1.20270270346,1.0832882317,1.13819615804,1.30714917881
indignant,1.1057139344,0.908440735538,1.17071066518,1.09361839512
umbrage,1.43877625173,1.37826663581,1.3867276525,1.33818937048
shock,1.42761642931,1.28666225127,1.39635026429,1.27901996422
exasperating,1.13468006424,1.16289147928,1.18153360474,1.12350506399
displeasing,1.23484606572,1.12403183185,1.25242904487,1.23643003903
furiously,1.30352280729,1.05084289847,1.34427996438,1.20598805952
dander,1.39494608464,1.41159015789,1.46646113865,1.45706957931
annoyance,1.16097731763,1.0363094482,1.15039828199,1.13750356266
annoying,1.01379972232,0.927833752771,1.10092011116,0.991701286551
annoy,1.18188682064,1.04903671432,1.25855234094,1.18030687323
annoyed,1.06743806477,0.94294108904,1.18508586322,1.0190311384
disagreeable,1.08644143215,0.967973969304,1.15606687934,1.10468518175
indignantly,1.3845376968,1.19632027161,1.35062392055,1.33924033807
indignation,1.14589457351,0.943927345013,1.15027183897,1.0999821052
fury,1.42378686518,1.27365870415,1.51764358547,1.27171835012
excusable,1.31755923284,1.17369027368,1.24635607633,1.38529991382
pardonable,1.43382583422,1.41703846677,1.44864460544,1.49723223403
forgiveness,1.18979985172,1.17916648236,1.32508681381,1.39107671833
forgive,1.16928276353,1.10520444284,1.36157465195,1.25627244604
distrustful,1.14909931227,1.03589071428,1.13467551454,1.26747112771
cynical,0.975309253643,0.851412014846,1.0398078901,1.04774751989
cynicism,1.00911875028,0.906922239038,1.02257613883,1.07427620032
unsuccessful,1.57487509403,1.46071464639,1.5197483535,1.58910174179
defeated,1.60556382975,1.43756891653,1.60948577044,1.46942215102
defeatism,1.38172568214,1.12587451858,1.2939919245,1.32679183739
chagrin,1.32423490005,1.2635421736,1.3822071294,1.3221231607
