word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
panicky,1.22732952893,1.09592776199,1.29051148092,1.17867805597,3.01472336268
disgraceful,1.19373017296,0.988284199452,1.24937087249,1.13878275071,8.62866891095
melancholy,1.01718648013,1.02751636836,1.17748529799,1.06715966157,24.1174160457
fear,1.24014191673,0.961776714673,1.28295863333,1.22683146873,32.0899699984
penitent,1.28108620352,1.28006232205,1.44772105875,1.41500290534,11.3040847735
heartlessness,1.39526452579,1.34052914583,1.42174920251,1.41023183783,1.71527960144
forlorn,1.21887225216,1.21211917407,1.41496490161,1.28888351319,7.53192743852
conscience,1.21012546491,1.18124764629,1.24307690959,1.39091073613,30.2999085663
granitic,1.62110770562,1.63926066691,1.56730112157,1.64755778344,11.585773667
doleful,1.18796959772,1.15256105478,1.3236645692,1.19201419502,2.69532430878
misanthropic,1.06861125984,1.01806481485,1.09726565759,1.15196121111,7.33352714401
ashamed,1.04295771452,0.922634247338,1.22147768128,1.03899744738,20.251327655
lugubrious,1.28705974855,1.26371587764,1.33044326247,1.22511699128,2.46199482533
humility,0.985323970834,1.17315041114,1.21627279239,1.25238850446,24.498288213
baffled,1.13836145651,1.04689059853,1.27462227798,0.922450877256,9.37755366612
guilt,1.26764130867,0.998317977133,1.24654781647,1.36288766196,32.0063634193
weeping,1.21781292848,1.17381758047,1.43118228358,1.20584770172,20.0330554318
contrite,1.24955266062,1.21422691367,1.34156576713,1.3405481995,2.67587907435
furious,1.25643440779,1.03109051477,1.33539179946,1.105872973,27.0488614729
intimidation,1.4888437447,1.18990289219,1.32651490109,1.46823897087,25.2693924583
tormented,1.10792607604,0.863443909299,1.25588093764,1.08661618224,16.1700612564
concerned,1.27016791754,1.24167336473,1.27228983754,1.39251688589,38.2344424168
oppressive,1.25001694337,1.04793498796,1.13944276548,1.38552924349,23.9271656405
unassertive,1.34109572966,1.3453481672,1.30989170759,1.41673978899,1.71019286777
grievously,1.37296781886,1.15087018438,1.39944113727,1.32836909371,5.04413790778
presage,1.33259587676,1.27772626892,1.4525727291,1.27730017202,3.95005849847
demeaning,1.23972249392,1.05318561933,1.24395567679,1.22204805643,9.41541362432
infuriated,1.20387513553,0.897150556487,1.26930118708,1.10186312066,18.3567054745
angrily,1.31007759227,1.00714264804,1.31545707409,1.18764237645,21.9910778534
covetous,1.25011872562,1.14963073287,1.33979333764,1.2562126184,3.86713868333
flint,1.69614711978,1.63581612616,1.66836290276,1.62441120289,28.2513746568
dreadfully,1.17191944028,1.0162276827,1.27873767341,1.11238748689,3.52258170295
elegiac,1.23373335538,1.36059528055,1.35340332841,1.34444955719,13.0341718288
unfortunate,1.15776651831,1.00415681384,1.21983059421,1.1272470816,23.5077378448
pardonable,1.43382583422,1.41703846677,1.44864460544,1.49723223403,2.02183055947
shock,1.42761642931,1.28666225127,1.39635026429,1.27901996422,30.5741651111
confusing,1.34963001723,1.22691099531,1.29423686477,1.30002540686,24.47489598
disinclined,1.25496879272,1.23567023846,1.23087229064,1.39768089929,4.58600956612
hostile,1.22994370004,1.0498659076,1.12525760508,1.28727610642,30.3637668184
penitentiary,1.69359554178,1.55065011264,1.65262985827,1.65078940802,30.9835996623
embarrassingly,1.51804316687,1.44631302336,1.45073392849,1.3971367689,3.5189017063
exasperated,1.07423148981,0.889104023774,1.11532853217,1.04692265225,9.96674475179
dreary,1.15049961843,1.07050678134,1.19110214393,1.14747801868,8.11678300193
daunt,1.55615116331,1.47081737944,1.52267721757,1.52504841829,3.1900620629
acquisitive,1.38182485744,1.33417213855,1.32952229358,1.48880772621,3.14128948824
